Domicile,2017/18,2018/19,2019/20,2020/21,2021/22,First year marker,Level of study,Mode of study,Country of HE provider
England,5.0,10.0,5.0,0.0,5.0,Other years,Other undergraduate,Full-time,Northern Ireland
England,40.0,155.0,20.0,35.0,15.0,Other years,Other undergraduate,Full-time,Scotland
England,350.0,500.0,690.0,550.0,625.0,Other years,Other undergraduate,Full-time,Wales
England,20450.0,17395.0,15860.0,16920.0,18065.0,Other years,Other undergraduate,Part-time,England
England,30.0,35.0,55.0,30.0,45.0,Other years,Other undergraduate,Part-time,Northern Ireland
England,155.0,190.0,130.0,165.0,180.0,Other years,Other undergraduate,Part-time,Scotland
England,225.0,175.0,165.0,320.0,435.0,Other years,Other undergraduate,Part-time,Wales
England,46195.0,41535.0,39175.0,40260.0,37730.0,All,Other undergraduate,Full-time,England
England,5.0,10.0,5.0,0.0,5.0,All,Other undergraduate,Full-time,Northern Ireland
England,120.0,210.0,65.0,80.0,55.0,All,Other undergraduate,Full-time,Scotland
England,1735.0,2150.0,2785.0,3530.0,2855.0,All,Other undergraduate,Full-time,Wales
England,67370.0,60610.0,50995.0,57945.0,56705.0,All,Other undergraduate,Part-time,England
England,165.0,245.0,155.0,130.0,145.0,All,Other undergraduate,Part-time,Northern Ireland
England,700.0,790.0,670.0,840.0,830.0,All,Other undergraduate,Part-time,Scotland
England,890.0,870.0,1025.0,1570.0,1630.0,All,Other undergraduate,Part-time,Wales
England,113570.0,102140.0,90165.0,98210.0,94430.0,All,Other undergraduate,All,England
England,170.0,250.0,160.0,130.0,150.0,All,Other undergraduate,All,Northern Ireland
England,820.0,995.0,730.0,920.0,890.0,All,Other undergraduate,All,Scotland
England,2625.0,3020.0,3810.0,5105.0,4485.0,All,Other undergraduate,All,Wales
England,74720.0,68085.0,57885.0,65515.0,60955.0,First year,Other undergraduate,All,England
England,140.0,210.0,100.0,95.0,105.0,First year,Other undergraduate,All,Northern Ireland
England,620.0,650.0,585.0,725.0,695.0,First year,Other undergraduate,All,Scotland
England,2055.0,2340.0,2960.0,4235.0,3425.0,First year,Other undergraduate,All,Wales
England,38850.0,34060.0,32285.0,32695.0,33475.0,Other years,Other undergraduate,All,England
England,30.0,45.0,60.0,30.0,45.0,Other years,Other undergraduate,All,Northern Ireland
England,195.0,345.0,150.0,195.0,195.0,Other years,Other undergraduate,All,Scotland
England,570.0,675.0,850.0,870.0,1060.0,Other years,Other undergraduate,All,Wales
England,117185.0,106410.0,94870.0,104360.0,99955.0,All,Other undergraduate,All,All
England,48060.0,43895.0,42030.0,43875.0,40645.0,All,Other undergraduate,Full-time,All
England,69125.0,62510.0,52840.0,60490.0,59310.0,All,Other undergraduate,Part-time,All
England,77535.0,71285.0,61525.0,70575.0,65175.0,First year,Other undergraduate,All,All
England,29265.0,26570.0,24890.0,27515.0,24595.0,First year,Other undergraduate,Full-time,All
England,48270.0,44715.0,36635.0,43055.0,40580.0,First year,Other undergraduate,Part-time,All
England,39650.0,35125.0,33345.0,33790.0,34780.0,Other years,Other undergraduate,All,All
England,18790.0,17330.0,17140.0,16355.0,16050.0,Other years,Other undergraduate,Full-time,All
England,20855.0,17795.0,16205.0,17435.0,18725.0,Other years,Other undergraduate,Part-time,All
England,1291095.0,1296440.0,1306260.0,1398785.0,1436235.0,All,All undergraduate,All,All
England,1236995.0,1241745.0,1250795.0,1339460.0,1374910.0,All,All undergraduate,All,England
England,1400.0,1495.0,1395.0,1390.0,1355.0,All,All undergraduate,All,Northern Ireland
England,18570.0,18660.0,18510.0,19580.0,20330.0,All,All undergraduate,All,Scotland
England,34130.0,34540.0,35550.0,38355.0,39635.0,All,All undergraduate,All,Wales
England,1091505.0,1097830.0,1110655.0,1183405.0,1211365.0,All,All undergraduate,Full-time,All
England,1040225.0,1046160.0,1058140.0,1127545.0,1153770.0,All,All undergraduate,Full-time,England
England,1120.0,1105.0,1070.0,1105.0,1060.0,All,All undergraduate,Full-time,Northern Ireland
England,17395.0,17405.0,17380.0,18305.0,19070.0,All,All undergraduate,Full-time,Scotland
England,32765.0,33155.0,34065.0,36450.0,37465.0,All,All undergraduate,Full-time,Wales
England,199595.0,198610.0,195600.0,215380.0,224870.0,All,All undergraduate,Part-time,All
England,196770.0,195585.0,192655.0,211915.0,221140.0,All,All undergraduate,Part-time,England
England,280.0,390.0,325.0,285.0,295.0,All,All undergraduate,Part-time,Northern Ireland
England,1175.0,1255.0,1130.0,1275.0,1260.0,All,All undergraduate,Part-time,Scotland
England,1370.0,1385.0,1490.0,1910.0,2175.0,All,All undergraduate,Part-time,Wales
England,480580.0,479250.0,484000.0,533955.0,535780.0,First year,All undergraduate,All,All
England,462210.0,460945.0,464850.0,511530.0,512465.0,First year,All undergraduate,All,England
England,510.0,595.0,460.0,480.0,485.0,First year,All undergraduate,All,Northern Ireland
England,5650.0,5245.0,5330.0,6160.0,6700.0,First year,All undergraduate,All,Scotland
England,12210.0,12465.0,13360.0,15785.0,16125.0,First year,All undergraduate,All,Wales
England,393645.0,392895.0,403240.0,439665.0,449005.0,First year,All undergraduate,Full-time,All
England,376875.0,376395.0,385875.0,419555.0,427870.0,First year,All undergraduate,Full-time,England
England,335.0,320.0,295.0,340.0,345.0,First year,All undergraduate,Full-time,Northern Ireland
England,4955.0,4510.0,4645.0,5325.0,5940.0,First year,All undergraduate,Full-time,Scotland
England,11480.0,11670.0,12425.0,14450.0,14850.0,First year,All undergraduate,Full-time,Wales
England,86935.0,86355.0,80760.0,94290.0,86775.0,First year,All undergraduate,Part-time,All
England,85335.0,84550.0,78975.0,91975.0,84590.0,First year,All undergraduate,Part-time,England
England,175.0,270.0,165.0,145.0,140.0,First year,All undergraduate,Part-time,Northern Ireland
England,695.0,735.0,685.0,840.0,765.0,First year,All undergraduate,Part-time,Scotland
England,735.0,800.0,935.0,1330.0,1275.0,First year,All undergraduate,Part-time,Wales
England,810520.0,817190.0,822255.0,864830.0,900455.0,Other years,All undergraduate,All,All
England,774785.0,780800.0,785950.0,827930.0,862450.0,Other years,All undergraduate,All,England
England,890.0,900.0,935.0,910.0,870.0,Other years,All undergraduate,All,Northern Ireland
England,12920.0,13415.0,13180.0,13420.0,13625.0,Other years,All undergraduate,All,Scotland
England,21920.0,22075.0,22190.0,22575.0,23510.0,Other years,All undergraduate,All,Wales
England,697860.0,704935.0,707415.0,743740.0,762360.0,Other years,All undergraduate,Full-time,All
England,663350.0,669765.0,672265.0,707990.0,725900.0,Other years,All undergraduate,Full-time,England
England,785.0,785.0,775.0,770.0,715.0,Other years,All undergraduate,Full-time,Northern Ireland
England,12440.0,12895.0,12735.0,12985.0,13130.0,Other years,All undergraduate,Full-time,Scotland
England,21285.0,21490.0,21640.0,21995.0,22615.0,Other years,All undergraduate,Full-time,Wales
England,112660.0,112255.0,114840.0,121095.0,138095.0,Other years,All undergraduate,Part-time,All
England,111440.0,111030.0,113685.0,119940.0,136550.0,Other years,All undergraduate,Part-time,England
England,105.0,115.0,165.0,140.0,155.0,Other years,All undergraduate,Part-time,Northern Ireland
England,480.0,520.0,445.0,435.0,495.0,Other years,All undergraduate,Part-time,Scotland
England,635.0,585.0,550.0,575.0,895.0,Other years,All undergraduate,Part-time,Wales
Wales,99195.0,101855.0,103590.0,110380.0,110360.0,All,All,All,All
